ID,Kategori,Nama_Produk,Spesifikasi,Harga,Kompatibilitas
P001,Processor,Intel Core i3-12100F,"4 Cores, 8 Threads, LGA1700",1350000,LGA1700
P002,Processor,Intel Core i5-12400F,"6 Cores, 12 Threads, LGA1700",2200000,LGA1700
P003,Processor,AMD Ryzen 5 5600X,"6 Cores, 12 Threads, AM4",2150000,AM4
P004,Processor,AMD Ryzen 5 7600,"6 Cores, 12 Threads, AM5",3100000,AM5
M001,Motherboard,ASRock H610M-HDV,"Micro-ATX, Intel LGA1700, DDR4",1050000,"LGA1700, DDR4"
M002,Motherboard,MSI PRO B760M-A WIFI,"Micro-ATX, Intel LGA1700, DDR5",2450000,"LGA1700, DDR5"
M003,Motherboard,Gigabyte B550M DS3H,"Micro-ATX, AMD AM4, DDR4",1400000,"AM4, DDR4"
M004,Motherboard,ASUS PRIME B650M-A,"Micro-ATX, AMD AM5, DDR5",2300000,"AM5, DDR5"
R001,RAM,Kingston Fury Beast 8GB DDR4,"8GB Single Channel, 3200MHz",350000,DDR4
R002,RAM,Corsair Vengeance LPX 16GB (2x8GB) DDR4,"16GB Dual Channel, 3200MHz",650000,DDR4
R003,RAM,Team Elite Plus 16GB (2x8GB) DDR5,"16GB Dual Channel, 4800MHz",850000,DDR5
V001,VGA,NVIDIA GTX 1650 4GB,"GDDR6, No External Power Required",2100000,PCIe
V002,VGA,NVIDIA RTX 3060 12GB,"GDDR6, Dual Fan, Ray Tracing",4300000,PCIe
V003,VGA,AMD Radeon RX 6600 8GB,"GDDR6, High Efficiency",3400000,PCIe
S001,Storage,Kingston NV2 NVMe SSD 500GB,M.2 PCIe Gen 4x4,550000,M.2 Slot
S002,Storage,Crucial P3 NVMe SSD 1TB,M.2 PCIe Gen 3x4,950000,M.2 Slot
W001,Power Supply,Aerocool United Power 500W,"500W, 80+ White Certified",450000,ATX
W002,Power Supply,Deepcool PK550D 550W,"555W, 80+ Bronze Certified",650000,ATX
W003,Power Supply,Corsair CX650 650W,"650W, 80+ Bronze Certified",900000,ATX
C001,Casing,Paradox Gaming Trickster,"Micro-ATX, Include 3 RGB Fan",380000,"Micro-ATX, ATX"
C002,Casing,Cube Gaming Axel,"ATX, Tempered Glass Side Panel",450000,ATX
